date,n_components,weighted_mean,weighted_median,pearson_skew,bowley_skew,boc_trim,boc_median,boc_spread
1995-01-01,55,0.6672457973207143,1.0965488309246545,-4.538766677379548,-0.137247760112943,1.8,1.7,0.10000000000000009
1995-02-01,55,1.1401329644424996,1.5033774393881085,-0.11423533762471827,-0.2505787141127757,1.8,1.8,0.0
1995-03-01,55,1.4324551815111788,1.51704763120929,-0.12367797002095482,-0.06577087555401223,1.9,1.8,0.09999999999999987
1995-04-01,55,1.9767242220560224,1.4303478453528253,0.7814988548681362,0.35626728123326495,2.1,1.9,0.20000000000000018
1995-05-01,55,2.6331170848310816,2.756190617905891,-0.2502653002869281,0.04541181374685259,2.3,2.1,0.19999999999999973
1995-06-01,55,2.442986547479514,1.534192890025408,0.17286049288627545,0.46746017763016523,2.3,2.1,0.19999999999999973
1995-07-01,55,2.6152238117622053,2.2187293369097483,0.9378266527552723,-0.14764532236455177,2.2,2.1,0.10000000000000009
1995-08-01,55,2.4947835623494785,1.896232573667482,0.7186665104065297,0.22052937164988948,2.1,2.1,0.0
1995-09-01,55,2.6697197773837336,1.757488526602787,1.0381659827576624,0.39985198081582657,2.2,2.0,0.20000000000000018
1995-10-01,55,2.3948320893124477,1.6486324633002276,0.8035100058728584,0.3236660866397896,2.0,2.0,0.0
1995-11-01,55,2.3276946669945837,2.0931245504509173,0.12179283051610314,0.20197966000197368,1.9,1.7,0.19999999999999996
1995-12-01,59,1.3189451545873199,1.5085439285569358,0.6925310527480463,-0.068283580504531,1.7,1.5,0.19999999999999996
1996-01-01,59,1.2135350712158417,1.520949985799149,0.11182038938031066,-0.12345457649968979,1.5,1.5,0.0
1996-02-01,59,1.307372862407289,1.4653307206821895,-0.4298985860890739,-0.1805011421893848,1.5,1.4,0.10000000000000009
1996-03-01,59,1.693207984820619,1.4635845846294175,0.008313768783181906,-0.15287722793440256,1.4,1.3,0.09999999999999987
1996-04-01,59,2.014307235568683,1.6741694932162776,0.19105332465237243,-0.25332916442962133,1.2,1.3,-0.10000000000000009
1996-05-01,59,1.7283896729682737,1.674860657331833,-0.0722215591018781,-0.2669878716801894,1.2,1.2,0.0
1996-06-01,59,1.4668659034260036,1.4387170729455936,-0.4592454739349758,-0.21415435798723811,1.2,1.3,-0.10000000000000009
1996-07-01,59,1.5016588965053537,1.1984741752359294,0.1834863286788594,0.0033564982749178488,1.2,1.2,0.0
1996-08-01,59,1.5706271378514711,1.5315332690453094,0.08256806549064671,-0.05217424495542338,1.1,1.2,-0.09999999999999987
1996-09-01,59,1.5475803574132119,1.6506727498941234,-0.47869817116956104,-0.22281561572259037,1.1,1.3,-0.19999999999999996
1996-10-01,59,2.389718692715821,2.17282468513879,0.22780252215077212,-0.06509089891942925,1.3,1.3,0.0
1996-11-01,59,2.017032892949293,1.8848986975558288,0.6211352840414882,-0.19665571123853692,1.4,1.4,0.0
1996-12-01,59,2.70770322477053,1.7691555033931585,1.2393245505418116,0.10429712896210862,1.4,1.4,0.0
1997-01-01,59,3.030020646245692,2.112200272738844,1.8494977217001753,0.09009141948783593,1.3,1.4,-0.09999999999999987
1997-02-01,59,2.5726526374309406,2.308882201611393,0.6178888343743529,-0.08828605560047957,1.3,1.3,0.0
1997-03-01,59,2.608271180974889,2.735635253101375,0.2725990894193378,-0.2793194001899033,1.3,1.3,0.0
1997-04-01,59,2.3976339085456675,2.4743152344171424,-0.37918358612041797,-0.05411749242637438,1.3,1.3,0.0
1997-05-01,59,2.1360068472146265,1.91381876637294,-0.0784473177849405,0.2886221370305368,1.2,1.3,-0.10000000000000009
1997-06-01,59,3.0574142697182745,2.5243228937662194,0.6114163930891476,0.17333779467318747,1.3,1.2,0.10000000000000009
1997-07-01,59,2.5660122278777675,2.2815664119570207,0.9825187601844271,0.1159307460945519,1.1,1.1,0.0
1997-08-01,59,2.534384017916157,2.103811416956759,0.7034773436617731,0.4706579805326675,1.2,1.2,0.0
1997-09-01,59,2.2767962411406297,1.749528167280681,1.2221426084597629,0.2255921543169537,1.1,1.0,0.10000000000000009
1997-10-01,59,1.9826577902551863,1.736332740865858,1.152454463630491,0.14949352433325944,1.0,1.1,-0.10000000000000009
1997-11-01,59,1.9629365385587223,1.56964157859399,1.2437310553379712,-0.16544406198250447,0.8,0.9,-0.09999999999999998
1997-12-01,59,1.484458070517904,1.459967445345678,-0.08640591808575772,-0.09988087271037585,0.8,0.9,-0.09999999999999998
1998-01-01,59,1.8414190858821147,1.5768420598330675,2.409387715460267,-0.15442745508115452,1.1,1.1,0.0
1998-02-01,59,2.225712440895937,1.62985691388406,0.4895789549823131,0.08585037468176693,1.1,1.2,-0.09999999999999987
1998-03-01,59,1.8756713032012045,1.4797377816148076,0.3964400173422173,0.002778026859949543,0.9,1.1,-0.20000000000000007
1998-04-01,59,1.8094310386131325,1.6294754741698068,0.13920970129617233,0.041186762412349115,0.9,1.2,-0.29999999999999993
