date,housing_starts,starts_12mma,starts_12mma_abs_dev,nhpi_yoy_pct,nhpi_yoy_abs_dev,crea_yoy_pct,crea_yoy_abs_dev
1982-01-01,,,,5.49738219895286,3.793441836865541,,
1982-02-01,,,,4.134366925064592,2.4304265629772726,,
1982-03-01,,,,2.0356234096692294,0.3316830475819099,,
1982-04-01,,,,0.0,1.7039403620873195,,
1982-05-01,,,,-2.463054187192115,4.166994549279435,,
1982-06-01,,,,-3.676470588235292,5.380410950322611,,
1982-07-01,,,,-4.411764705882348,6.115705067969667,,
1982-08-01,,,,-4.4334975369458185,6.137437899033138,,
1982-09-01,,,,-4.950495049504955,6.654435411592274,,
1982-10-01,,,,-4.962779156327546,6.666719518414865,,
1982-11-01,,,,-5.472636815920406,7.176577178007726,,
1982-12-01,,,,-5.955334987593053,7.659275349680373,,
1983-01-01,,,,-5.955334987593053,7.659275349680373,,
1983-02-01,,,,-5.955334987593053,7.659275349680373,,
1983-03-01,,,,-5.735660847880308,7.439601209967628,,
1983-04-01,,,,-5.263157894736848,6.967098256824167,,
1983-05-01,,,,-4.7979797979797905,6.50192016006711,,
1983-06-01,,,,-3.8167938931297662,5.520734255217086,,
1983-07-01,,,,-3.076923076923088,4.780863439010408,,
1983-08-01,,,,-2.0618556701030855,3.765796032190405,,
1983-09-01,,,,-1.041666666666663,2.7456070287539824,,
1983-10-01,,,,-1.0443864229764954,2.748326785063815,,
1983-11-01,,,,0.0,1.7039403620873195,,
1983-12-01,,,,0.0,1.7039403620873195,,
1984-01-01,,,,0.26385224274407815,1.4400881193432413,,
1984-02-01,,,,0.26385224274407815,1.4400881193432413,,
1984-03-01,,,,0.793650793650813,0.9102895684365064,,
1984-04-01,,,,1.0582010582010692,0.6457393038862502,,
1984-05-01,,,,1.3262599469495928,0.37768041513772665,,
1984-06-01,,,,0.793650793650813,0.9102895684365064,,
1984-07-01,,,,0.793650793650813,0.9102895684365064,,
1984-08-01,,,,0.0,1.7039403620873195,,
1984-09-01,,,,-0.2631578947368429,1.9670982568241624,,
1984-10-01,,,,0.0,1.7039403620873195,,
1984-11-01,,,,-0.526315789473697,2.2302561515610164,,
1984-12-01,,,,0.0,1.7039403620873195,,
1985-01-01,,,,0.0,1.7039403620873195,,
1985-02-01,,,,0.0,1.7039403620873195,,
1985-03-01,,,,0.0,1.7039403620873195,,
1985-04-01,,,,-0.2617801047120505,1.96572046679937,,
1985-05-01,,,,-0.2617801047120505,1.96572046679937,,
1985-06-01,,,,0.5249343832020914,1.179005978885228,,
1985-07-01,,,,0.7874015748031482,0.9165387872841713,,
1985-08-01,,,,1.3157894736842035,0.38815088840311596,,
1985-09-01,,,,2.37467018469657,0.6707298226092506,,
1985-10-01,,,,2.638522427440626,0.9345820653533066,,
1985-11-01,,,,3.70370370370372,1.9997633416164007,,
1985-12-01,,,,3.693931398416872,1.9899910363295525,,
1986-01-01,,,,4.73684210526315,3.032901743175831,,
1986-02-01,,,,6.052631578947354,4.3486912168600345,,
1986-03-01,,,,6.5616797900262425,4.857739427938923,,
1986-04-01,,,,7.086614173228334,5.382673811141014,,
1986-05-01,,,,7.874015748031504,6.170075385944185,,
1986-06-01,,,,7.8328981723237545,6.128957810236435,,
1986-07-01,,,,8.333333333333348,6.629392971246029,,
1986-08-01,,,,9.090909090909083,7.386968728821763,,
1986-09-01,,,,10.309278350515472,8.605337988428152,,
1986-10-01,,,,11.053984575835486,9.350044213748166,,
1986-11-01,,,,11.734693877550995,10.030753515463676,,
1986-12-01,,,,11.959287531806616,10.255347169719297,,
1987-01-01,,,,11.557788944723612,9.853848582636292,,
1987-02-01,,,,12.158808933002497,10.454868570915178,,
1987-03-01,,,,14.778325123152714,13.074384761065394,,
1987-04-01,,,,15.441176470588246,13.737236108500927,,
1987-05-01,,,,15.571776155717764,13.867835793630444,,
1987-06-01,,,,15.496368038740925,13.792427676653606,,
1987-07-01,,,,15.384615384615374,13.680675022528055,,
1987-08-01,,,,14.761904761904777,13.057964399817457,,
1987-09-01,,,,13.785046728971984,12.081106366884665,,
1987-10-01,,,,13.194444444444443,11.490504082357123,,
1987-11-01,,,,12.100456621004586,10.396516258917266,,
