date,headline_yoy,headline_mom,cpi_trim,cpi_median,cpi_common,cpix,cpixfet,core_band_width,core_avg,headline_minus_core,abs_dev_from_target,abs_mom_dev
2000-01-01,2.3965141612200425,0.0,1.5,1.3,1.4,1.2,1.5,0.30000000000000004,1.38,1.0165141612200426,0.39651416122004246,0.1652
2000-02-01,2.7233115468409563,0.31914893617019935,1.6,1.4,1.7,1.3,1.6,0.3999999999999999,1.52,1.2033115468409563,0.7233115468409563,0.15394893617019934
2000-03-01,3.04347826086957,0.5302226935312904,1.6,1.4,1.8,1.3,1.6,0.5,1.5399999999999998,1.50347826086957,1.0434782608695699,0.36502269353129035
2000-04-01,2.0540540540540553,-0.42194092827003704,1.5,1.4,1.5,1.2,1.3,0.30000000000000004,1.3800000000000001,0.6740540540540552,0.05405405405405528,0.587140928270037
2000-05-01,2.2678185745140578,0.3177966101694851,1.6,1.5,1.6,1.1,1.4,0.5,1.4400000000000002,0.8278185745140576,0.2678185745140578,0.15259661016948511
2000-06-01,2.9157667386609187,0.6335797254487741,1.8,1.6,1.6,1.3,1.5,0.5,1.56,1.3557667386609187,0.9157667386609187,0.46837972544877404
2000-07-01,3.0172413793103425,0.31479538300105414,1.8,1.6,1.8,1.2,1.6,0.6000000000000001,1.6,1.4172413793103424,1.0172413793103425,0.14959538300105413
2000-08-01,2.467811158798283,-0.10460251046024993,1.9,1.7,1.9,1.2,1.5,0.7,1.64,0.8278111587982833,0.46781115879828317,0.26980251046024994
2000-09-01,2.566844919786093,0.41884816753927634,1.8,1.6,1.8,1.1,1.3,0.7,1.52,1.0468449197860932,0.5668449197860932,0.2536481675392763
2000-10-01,2.8846153846153966,0.4171011470281538,1.9,1.7,1.8,1.3,1.5,0.5999999999999999,1.64,1.2446153846153967,0.8846153846153966,0.2519011470281538
2000-11-01,3.3084311632870733,0.5192107995846351,2.0,1.8,2.0,1.5,1.8,0.5,1.8199999999999998,1.4884311632870735,1.3084311632870733,0.3540107995846351
2000-12-01,3.1914893617021267,0.20661157024792765,2.1,1.9,2.1,1.7,1.9,0.40000000000000013,1.94,1.2514893617021268,1.1914893617021267,0.04141157024792763
2001-01-01,2.9787234042553123,-0.20618556701030855,2.2,2.0,2.3,1.8,1.9,0.4999999999999998,2.04,0.9387234042553123,0.9787234042553123,0.37138556701030856
2001-02-01,2.757158006362692,0.10330578512398603,2.2,2.1,2.3,1.7,2.0,0.5999999999999999,2.06,0.6971580063626921,0.7571580063626921,0.061894214876013987
2001-03-01,2.4261603375527407,0.20639834881319707,2.2,2.2,2.3,1.9,1.7,0.5999999999999999,2.0599999999999996,0.36616033755274113,0.42616033755274074,0.04119834881319706
2001-04-01,3.601694915254239,0.720906282183309,2.4,2.2,2.5,2.2,1.9,0.6000000000000001,2.24,1.3616949152542386,1.6016949152542388,0.555706282183309
2001-05-01,3.9070749736008548,0.6134969325153561,2.4,2.2,2.5,2.3,1.9,0.6000000000000001,2.26,1.647074973600855,1.9070749736008548,0.4482969325153561
2001-06-01,3.2528856243441817,0.0,2.4,2.2,2.5,2.2,1.8,0.7,2.22,1.0328856243441815,1.2528856243441817,0.1652
